图片,商家编码,商品名称,商品货号,商品简称,商品外部编码,允许负库存,商品分类,供应商,品牌,单位,备注,商品条码,商品条码2,商品条码3,规格名称,规格外部编码,标准售价,第二价格,第三价格,第四价格,重量(kg),销售积分,包装重量(kg),规格备注,扩展字段1,扩展字段2,扩展字段3,扩展字段4,扩展字段5,库存预警值,优先出库仓,库存同步类型,虚拟库存数,真实库存数,创建时间,创建人,修改时间,修改人,关联数,库位,打印数量
,6900060011109,睡衣枣色4645,,,,FALSE,极度诱惑,,,,,6900060011109,,,睡衣枣色4645,,0.,0.,0.,0.,0.,0.,0.,,,,,,,0,,不同步库存,0,0,2017/7/10 23:21:24,liuxiyao,2017/7/10 23:56:20,liuxiyao,0,K4-07,1
,6900060011108,睡衣枣色6139,,,,FALSE,极度诱惑,,,,,6900060011108,,,睡衣枣色6139,,0.,0.,0.,0.,0.,0.,0.,,,,,,,0,,不同步库存,0,0,2017/7/10 23:21:24,liuxiyao,2017/7/10 23:56:20,liuxiyao,0,K4-06,1
,6900060011107,睡衣粉色6139,,,,FALSE,极度诱惑,,,,,6900060011107,,,睡衣粉色6139,,0.,0.,0.,0.,0.,0.,0.,,,,,,,0,,不同步库存,0,0,2017/7/10 23:21:24,liuxiyao,2017/7/10 23:56:20,liuxiyao,0,K4-05,1
,6900060011106,睡衣枣色6135,,,,FALSE,极度诱惑,,,,,6900060011106,,,睡衣枣色6135,,0.,0.,0.,0.,0.,0.,0.,,,,,,,0,,不同步库存,0,0,2017/7/10 23:21:23,liuxiyao,2017/7/10 23:56:20,liuxiyao,0,K4-04,1
,6900060011105,睡衣粉色6135,,,,FALSE,极度诱惑,,,,,6900060011105,,,睡衣粉色6135,,0.,0.,0.,0.,0.,0.,0.,,,,,,,0,,不同步库存,0,0,2017/7/10 23:21:23,liuxiyao,2017/7/10 23:56:20,liuxiyao,0,K4-03,1
,6900060011104,睡衣枣色6154,,,,FALSE,极度诱惑,,,,,6900060011104,,,睡衣枣色6154,,0.,0.,0.,0.,0.,0.,0.,,,,,,,0,,不同步库存,0,0,2017/7/10 23:21:23,liuxiyao,2017/7/10 23:56:20,liuxiyao,0,K4-02,1
,6900060011103,睡衣枣色6181,,,,FALSE,极度诱惑,,,,,6900060011103,,,睡衣枣色6181,,0.,0.,0.,0.,0.,0.,0.,,,,,,,0,,不同步库存,0,0,2017/7/10 23:21:23,liuxiyao,2017/7/10 23:56:20,liuxiyao,0,K4-01,1
,6900060011102,睡衣粉色1107,,,,FALSE,极度诱惑,,,,,6900060011102,,,睡衣粉色1107,,0.,0.,0.,0.,0.,0.,0.,,,,,,,0,,不同步库存,0,0,2017/7/10 23:21:22,liuxiyao,2017/7/10 23:56:20,liuxiyao,0,K3-14,1
,6900060011101,睡衣枣色1107,,,,FALSE,极度诱惑,,,,,6900060011101,,,睡衣枣色1107,,0.,0.,0.,0.,0.,0.,0.,,,,,,,0,,不同步库存,0,0,2017/7/10 23:21:22,liuxiyao,2017/7/10 23:56:20,liuxiyao,0,K3-13,1
,6900060011100,睡衣枣色4644,,,,FALSE,极度诱惑,,,,,6900060011100,,,睡衣枣色4644,,0.,0.,0.,0.,0.,0.,0.,,,,,,,0,,不同步库存,0,0,2017/7/10 23:21:22,liuxiyao,2017/7/10 23:56:20,liuxiyao,0,K3-12,1
,6900060011099,睡衣黑色4644,,,,FALSE,极度诱惑,,,,,6900060011099,,,睡衣黑色4644,,0.,0.,0.,0.,0.,0.,0.,,,,,,,0,,不同步库存,0,0,2017/7/10 23:21:22,liuxiyao,2017/7/10 23:56:20,liuxiyao,0,K3-11,1
,6900060011098,睡衣粉色4642,,,,FALSE,极度诱惑,,,,,6900060011098,,,睡衣粉色4642,,0.,0.,0.,0.,0.,0.,0.,,,,,,,0,,不同步库存,0,0,2017/7/10 23:21:22,liuxiyao,2017/7/10 23:56:21,liuxiyao,0,K3-10,1
